云南线路①,#genre#
CCTV-16,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226315/1.m3u8$华为
CCTV16-4K,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226317/1.m3u8$华为
CCTV-17,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226037/1.m3u8$华为
CGTN-英语,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226109/1.m3u8$华为
CGTN记录,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226113/1.m3u8$华为
CGTN-法语,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226520/index.m3u8$4.0M_576
CGTN-俄语,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226543/index.m3u8$4.0M_576
CGTN-西班牙语,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226431/index.m3u8$4.0M_576
CGTN-阿拉伯语,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226517/index.m3u8$4.0M_576
云南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225821/1.m3u8$华为
云南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225989/1.m3u8$华为
云南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226324/1.m3u8$华为
东南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225917/1.m3u8$华为
湖北卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225837/1.m3u8$华为
重庆卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225839/1.m3u8$华为
山东卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225841/1.m3u8$华为
天津卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225843/1.m3u8$华为
安徽卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225845/1.m3u8$华为
安徽经济生活,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959.flv
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3.flv
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be.flv
歙县综合,http://112.30.194.221:20080/live/4b3024127d1c472986ccdcb454f81a9f/hls.m3u8
固镇新闻,http://www.guzhenm.com:7001/hls/hd-live.m3u8
湖南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225847/1.m3u8$华为
江苏卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225849/1.m3u8$华为
苏州新闻综合,http://tylive.kan0512.com/norecord/norecord_csztv1.m3u8
苏州社会经济,http://tylive.kan0512.com/norecord/norecord_csztv2.m3u8
苏州文化生活,http://tylive.kan0512.com/norecord/norecord_csztv3.m3u8
苏州生活资讯,http://tylive.kan0512.com/norecord/norecord_csztv5.m3u8
深圳卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225851/1.m3u8$华为
辽宁卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225855/1.m3u8$华为
浙江卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225853/1.m3u8$华为
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
东方卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225857/1.m3u8$华为
上海新闻综合,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000005/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000005&IASHttpSessionId=OTT19019320240419154124000281
上海都市,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000012/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000012&IASHttpSessionId=OTT19019320240419154124000281
上海外语,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000001/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000001&IASHttpSessionId=OTT19019320240419154124000281
七彩戏剧,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000010/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000010&IASHttpSessionId=OTT19019320240419154124000281
五星体育,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT19019320240419154124000281
东方影视,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000013/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000013&IASHttpSessionId=OTT19019320240419154124000281
东方财经,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000090/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000090&IASHttpSessionId=OTT19019320240419154124000281
法治天地,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000014&IASHttpSessionId=OTT19019320240419154124000281
第一财经,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000004/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000004&IASHttpSessionId=OTT19019320240419154124000281
四川卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225859/1.m3u8$华为
贵州卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225923/1.m3u8$华为
贵州公共,rtmp://pili-publish.live.v2gogo.com/v2gogo-live/e7b9e08f7f8d4e4ca4f41fa399aeae17
贵州公共,rtmp://pili-publish.live.v2gogo.com/v2gogo-live/95c81a103d724c4fb01d25a7e148a15d
北京卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225861/1.m3u8$华为
广东卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226051/1.m3u8$华为
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
番禺电视台,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
广西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226111/1.m3u8$华为
河南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226115/1.m3u8$华为
海南卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226331/1.m3u8$华为
海南新闻,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000111/
海南少儿,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000112/
海南文旅,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000113/
海南自贸,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000116/
海南公共,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000057/
三沙卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000117/
三沙卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000117/1.m3u8

北京卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226153/1.m3u8$华为
延边卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226157/1.m3u8$华为
安多卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226159/1.m3u8$华为
厦门卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226289/1.m3u8$华为
河北卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226127/1.m3u8$华为
吉林卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226121/1.m3u8$华为
宁夏卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225559/1.m3u8$华为
银川生活,http://play-sh13.quklive.com/live/1667883987087179.m3u8?auth_key=2015914201-e789f4bf87944ac98fc8e0c712232434-0-474d2b458436091b7c92eb893b9561f0
银川公共,http://play-sh13.quklive.com/live/1667883943560053.m3u8?auth_key=2020823262-bc2cb743dfab4ce6a26d546eb441f796-0-f59f1ab82df61a440b646adb0d38782e
银川文体,http://play-sh13.quklive.com/live/1667884025738071.m3u8?auth_key=2020823590-f8b344018ae147f9a2ddc0c208153cfe-0-e82894e30aaa46a685d4e8cd901224a0
陕西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225563/1.m3u8$华为
陕西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226369/1.m3u8$华为
江西卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225911/1.m3u8$华为
黑龙江卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225915/1.m3u8$华为
新疆卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225645/1.m3u8$华为
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
西藏影视,http://php.jdshipin.com:8880/xztv.php?id=ys
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
内蒙古综合,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
内蒙古经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
内蒙古少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
内蒙古文体娱乐,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
内蒙古农牧,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800
内蒙古蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
内蒙古蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=2250268a1d326dbbc4cbf0ba32649ca5&txTime=771E8800
呼和浩特新闻综合,https://livestream-bt.nmtv.cn/nmtv/2331general.m3u8?txSecret=70072e9dff1f4042fcefde5b001af668&txTime=771E8800
包头新闻综合,https://livestream-bt.nmtv.cn/nmtv/2358general.m3u8?txSecret=d5a1fe0898512f4a1d513bc0f9c5b751&txTime=771E8800
鄂尔多斯新闻综合,https://livestream-bt.nmtv.cn/nmtv/2349general.m3u8?txSecret=b7f46f8c1bcd9e2db3aa285e7afd6255&txTime=771E8800
巴彦淖尔新闻综合,https://livestream-bt.nmtv.cn/nmtv/2348general.m3u8?txSecret=7b16e82a11c42b867ae27383922ef7f9&txTime=771E8800
赤峰新闻综合,https://livestream-bt.nmtv.cn/nmtv/2351general.m3u8?txSecret=08be8d464e60db2c3aa1e8e7d742f71d&txTime=771E8800
乌兰察布新闻综合,https://livestream-bt.nmtv.cn/nmtv/2354general.m3u8?txSecret=8bca81250fd7df3b633efcbb6150b0c6&txTime=771E8800
农林卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225887/1.m3u8$华为
山东教育卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225883/1.m3u8$华为
CETV1,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226057/1.m3u8$华为
CETV2,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226095/1.m3u8$华为
CETV4,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226335/1.m3u8$华为
卡酷少儿,http://ztevod.yn.chinamobile.com:6060/gitv_live/G_KAKU/G_KAKU.m3u8?m3u8_level=2
嘉佳卡通,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225889/1.m3u8$华为
优漫卡通,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225885/1.m3u8$华为
康巴卫视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225993/1.m3u8$华为
云南都市频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225819/1.m3u8$华为
云南都市频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226009/1.m3u8$华为
云南都市频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226151/1.m3u8$华为
云南娱乐频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225813/1.m3u8$华为
云南康旅频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225817/1.m3u8$华为
云南少儿频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225867/1.m3u8$华为
云南影视频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225811/1.m3u8$华为
澜湄国际,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225631/1.m3u8$华为
云南移动电视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225865/1.m3u8$华为
云南导视1,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226308/1.m3u8$华为
云南导视2,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226313/1.m3u8$华为
昆明春城民生,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225617/1.m3u8$华为
昆明影视综艺,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225619/1.m3u8$华为
昆明科学教育,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225623/1.m3u8$华为
昆明经济生活,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225625/1.m3u8$华为
昆明新闻综合,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225627/1.m3u8$华为
昆明教育电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225985/1.m3u8$华为
寻甸电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226319/1.m3u8$华为
嵩明电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226329/1.m3u8$华为
德宏综合,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225727/1.m3u8$华为
德宏文旅,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225729/1.m3u8$华为
怒江电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225735/1.m3u8$华为
怒江电视台,http://livebroadcast.ccwb.cn/live/w1620805130988936.m3u8
保山一台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225745/1.m3u8$华为
保山二台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225743/1.m3u8$华为
保山三台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225773/1.m3u8$华为
香格里拉电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225747/1.m3u8$华为
维西电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225749/1.m3u8$华为
迪庆藏语,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225751/1.m3u8$华为
德钦电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225753/1.m3u8$华为
丽江新闻,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225755/1.m3u8$华为
盈江电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225757/1.m3u8$华为
陇川电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225759/1.m3u8$华为
芒市电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225761/1.m3u8$华为
临沧一台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225799/1.m3u8$华为
临沧二台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225769/1.m3u8$华为
双江电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225771/1.m3u8$华为
临翔电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225787/1.m3u8$华为
永德电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225789/1.m3u8$华为
凤庆电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225791/1.m3u8$华为
云县电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225793/1.m3u8$华为
耿马电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225795/1.m3u8$华为
镇康电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225797/1.m3u8$华为
丽江新闻综合,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225869/1.m3u8$华为
丽江文旅,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225871/1.m3u8$华为
梁河电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225879/1.m3u8$华为
沧源电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225927/1.m3u8$华为
兰坪电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225929/1.m3u8$华为
泸水电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225931/1.m3u8$华为
福贡电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225933/1.m3u8$华为
贡山电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225935/1.m3u8$华为
大理新闻,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225937/1.m3u8$华为
大理文旅,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225939/1.m3u8$华为
宾川电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225971/1.m3u8$华为
大理市电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225977/1.m3u8$华为
云龙电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225979/1.m3u8$华为
弥渡电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225981/1.m3u8$华为
剑川电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225991/1.m3u8$华为
永平电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226005/1.m3u8$华为
昌宁电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226007/1.m3u8$华为
腾冲电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226011/1.m3u8$华为
龙陵电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226013/1.m3u8$华为
施甸电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226015/1.m3u8$华为
铁路电视,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226027/1.m3u8$华为
隆阳区电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226041/1.m3u8$华为
永胜电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226043/1.m3u8$华为
玉龙电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226049/1.m3u8$华为
HQTV,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226055/1.m3u8$华为
漾濞电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226067/1.m3u8$华为
瑞丽综合,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226117/1.m3u8$华为
巍山电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226123/1.m3u8$华为
洱源电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226125/1.m3u8$华为
祥云电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226129/1.m3u8$华为
华坪电视台,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226143/1.m3u8$华为
探索频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226290/1.m3u8$华为
央视导视1,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226291/1.m3u8$华为
央视导视2,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226293/1.m3u8$华为
4K修复[3840x2160],http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226295/1.m3u8$华为
4K修复[3840x2160],http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226306/1.m3u8$华为
金色学堂,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226349/1.m3u8$华为
动漫秀场,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226347/1.m3u8$华为
游戏风云,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226351/1.m3u8$华为
中国天气,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000057/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000057
中国天气,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226355/1.m3u8$华为
武术世界,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226370/1.m3u8$华为
梨园频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226395/1.m3u8$华为
七彩云南,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226371/1.m3u8$华为
文物宝库,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226372/1.m3u8$华为
纪实科教,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226373/1.m3u8$华为
欢笑剧场4K,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226376/1.m3u8$华为
都市剧场,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226393/1.m3u8$华为
CCTV-风云剧场,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226401/1.m3u8$华为
CCTV-央视台球,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226380/1.m3u8$华为
CCTV-高尔夫网球,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226382/1.m3u8$华为
CCTV-风云足球,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226405/1.m3u8$华为
CCTV-世界地理,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226403/1.m3u8$华为
乐游,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226383/1.m3u8$华为
法治天地,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226385/1.m3u8$华为
东方财经,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226387/1.m3u8$华为
魅力足球,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226389/1.m3u8$华为
生活时尚,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226391/1.m3u8$华为
CCTV-中学生,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226366/1.m3u8$华为
茶频道,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226294/1.m3u8$华为
金鹰纪实,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225925/1.m3u8$华为

快乐垂钓,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226297/1.m3u8$华为
先锋乒羽,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226299/1.m3u8$华为
哒啵赛事,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226300/1.m3u8$华为
家有购物,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225919/1.m3u8$华为
纪实人文,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221225921/1.m3u8$华为
电视剧1,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226302/1.m3u8$华为
电视剧2,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226304/1.m3u8$华为
电视剧3,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226305/1.m3u8$华为
电视剧4,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226307/1.m3u8$华为
电视剧5,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226352/1.m3u8$华为
电视剧6,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226354/1.m3u8$华为
电视剧7,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226356/1.m3u8$华为
电视剧8,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226363/1.m3u8$华为
电影台1,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226309/1.m3u8$华为
少儿1,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226311/1.m3u8$华为
睛彩篮球,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226321/1.m3u8$华为
睛彩竞技,http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226323/1.m3u8$华为
